,fpr,tpr,thresholds
0,0.0,0.0,1.966
1,0.0,6.344775077723494e-05,0.966
2,0.0,0.00019034325233170484,0.96
3,0.0,0.00031723875388617475,0.954
4,0.0,0.0004441342554406446,0.952
5,0.0,0.0005075820062178795,0.948
6,0.0,0.0006979252585495844,0.946
7,0.0,0.0008248207601040543,0.944
8,0.0,0.0008882685108812892,0.942
9,0.0,0.001142059513990229,0.94
10,0.0,0.001268955015544699,0.936
11,0.0,0.0013958505170991687,0.934
12,0.0,0.0016496415202081087,0.932
13,0.0,0.002030328024871518,0.916
14,0.0,0.002157223526425988,0.912
15,0.0,0.002411014529534928,0.91
16,0.0,0.0027917010341983375,0.902
17,0.0,0.0030454920373072774,0.9
18,0.0,0.0032358352896389823,0.898
19,0.0,0.0033627307911934523,0.896
20,5.787974903340819e-06,0.0034261785419706873,0.894
21,1.1575949806681639e-05,0.003553074043525157,0.892
22,2.3151899613363278e-05,0.003616521794302392,0.89
23,2.3151899613363278e-05,0.0037434172958568618,0.888
24,2.8939874516704097e-05,0.0037434172958568618,0.884
25,2.8939874516704097e-05,0.0038703127974113317,0.882
26,3.4727849420044916e-05,0.003997208298965801,0.88
27,3.4727849420044916e-05,0.004060656049743036,0.878
28,4.0515824323385736e-05,0.004124103800520271,0.876
29,4.0515824323385736e-05,0.004187551551297506,0.874
30,4.0515824323385736e-05,0.004314447052851976,0.872
31,4.0515824323385736e-05,0.004695133557515386,0.868
32,4.6303799226726555e-05,0.004758581308292621,0.866
33,4.6303799226726555e-05,0.004948924560624326,0.86
34,5.2091774130067375e-05,0.005075820062178796,0.858
35,5.2091774130067375e-05,0.005266163314510501,0.856
36,5.2091774130067375e-05,0.005393058816064971,0.854
37,5.2091774130067375e-05,0.005583402068396675,0.852
38,6.3667723936749e-05,0.005837193071505615,0.85
39,6.3667723936749e-05,0.00590064082228285,0.848
40,6.945569884008983e-05,0.00615443182539179,0.846
41,7.524367374343065e-05,0.006217879576169025,0.844
42,7.524367374343065e-05,0.00640822282850073,0.842
43,7.524367374343065e-05,0.0065351183300552,0.84
44,8.103164864677147e-05,0.006852357083941375,0.838
45,8.681962355011228e-05,0.0069158048347186096,0.836
46,8.681962355011228e-05,0.007106148087050314,0.834
47,8.681962355011228e-05,0.0073599390901592536,0.832
48,9.839557335679392e-05,0.0076137300932681935,0.83
49,9.839557335679392e-05,0.0077406255948226635,0.828
50,9.839557335679392e-05,0.0078040733455998984,0.826
51,9.839557335679392e-05,0.008057864348708837,0.824
52,0.00010997152316347556,0.008184759850263307,0.822
53,0.00011575949806681639,0.008375103102595012,0.82
54,0.00011575949806681639,0.008946132859590127,0.818
55,0.0001215474729701572,0.009199923862699067,0.816
56,0.00013312342277683884,0.009326819364253537,0.814
57,0.00013891139768017967,0.009517162616585242,0.812
58,0.00014469937258352046,0.009834401370471417,0.81
59,0.00015627532239020212,0.010024744622803122,0.808
60,0.00016785127219688374,0.010659222130575472,0.804
61,0.00017363924710022457,0.01116680413679335,0.802
62,0.00019679114671358785,0.01167438614301123,0.8
63,0.00019679114671358785,0.011737833893788465,0.798
64,0.00020257912161692867,0.01205507264767464,0.796
65,0.00023151899613363278,0.01230886365078358,0.794
66,0.00023730697103697357,0.01256265465389252,0.792
67,0.0002662468455536777,0.01281644565700146,0.79
68,0.0002720348204570185,0.01281644565700146,0.7893333333333332
69,0.00031833861968374506,0.01319713216166487,0.786
70,0.0003357025443937675,0.013514370915551044,0.784
71,0.0003646424189104716,0.013768161918659984,0.782
72,0.00038200634362049404,0.014085400672546159,0.78
73,0.00038200634362049404,0.014402639426432332,0.778
