,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,3.0043563166591557e-05,0.009245204912377536,1.0
2,6.0087126333183114e-05,0.009245204912377536,0.9995
3,0.000270392068499324,0.009245204912377536,0.9983619047619048
4,0.00039056632116569025,0.012832896370912101,0.998
5,0.00039056632116569025,0.015040706499241066,0.996
6,0.00039056632116569025,0.015592659031323307,0.994
7,0.0004506534474988734,0.016006623430384986,0.9937166666666666
8,0.0004506534474988734,0.017110528494549467,0.992
9,0.0004506534474988734,0.01862839795777563,0.99
10,0.0005107405738320565,0.01862839795777563,0.9886666666666667
11,0.0005107405738320565,0.019456326755898992,0.988
12,0.0005107405738320565,0.020146267421001795,0.986
13,0.0005107405738320565,0.021526148751207397,0.984
14,0.0005107405738320565,0.02263005381537188,0.982
15,0.000540784136998648,0.02373395887953636,0.98
16,0.0006309148264984228,0.02373395887953636,0.9786666666666666
17,0.0006309148264984228,0.02456188767765972,0.978
18,0.0006609583896650142,0.02483786394370084,0.976
19,0.0006609583896650142,0.025941769007865323,0.974
20,0.0006910019528316058,0.026079757140885885,0.9735999999999999
21,0.0006910019528316058,0.026907685939009246,0.972
22,0.0007510890791647889,0.026907685939009246,0.9701666666666667
23,0.0008111762054979721,0.028011591003173728,0.97
24,0.0008111762054979721,0.030357389264523253,0.968
25,0.0008111762054979721,0.03146129432868773,0.964
26,0.0008111762054979721,0.031599282461708296,0.963
27,0.0008111762054979721,0.03339312819097558,0.962
28,0.0008111762054979721,0.0343590451221195,0.96
29,0.0008412197686645636,0.0343590451221195,0.9584761904761904
30,0.0008412197686645636,0.0357389264523251,0.958
31,0.0008412197686645636,0.035876914585345664,0.9573333333333334
32,0.0008412197686645636,0.03725679591555126,0.956
33,0.0008412197686645636,0.03739478404857182,0.9556666666666667
34,0.0008412197686645636,0.038912653511797984,0.954
35,0.0008412197686645636,0.03918862977783911,0.9524666666666667
36,0.0008712633318311552,0.04043052297502415,0.952
37,0.0009313504581643383,0.042362356837311994,0.95
