,DxStatistic,Value
0,Sensitivity,0.739
1,Specificity,0.764
2,Positive Predictive Value,0.405
3,Negative Predictive Value,0.931
4,False Positive Rate,0.236
5,False Negative Rate,0.261
6,False Discovery Rate,0.595
7,Accuracy,0.759
