,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,5.296385746366679e-06,0.0017962727340767907,1.0
2,5.296385746366679e-06,0.003031210238754584,0.998
3,2.1185542985466717e-05,0.003031210238754584,0.9962166666666668
4,2.6481928731833398e-05,0.00389192425716638,0.996
5,6.885301470276684e-05,0.003929346605792979,0.9956888888888887
6,6.885301470276684e-05,0.004827482972831375,0.994
7,6.885301470276684e-05,0.004864905321457975,0.9938333333333333
8,7.414940044913351e-05,0.004864905321457975,0.993
9,8.474217194186687e-05,0.005164284110470773,0.992
10,9.003855768823355e-05,0.005239128807723973,0.9913333333333333
11,9.003855768823355e-05,0.00572561933986977,0.99
12,9.533494343460022e-05,0.006099842826135769,0.988
13,0.00010063132918096691,0.006661178055534765,0.986
14,0.0001535951866446337,0.006698600404161365,0.9857539612606178
15,0.00015889157239100038,0.006698600404161365,0.9850285714285715
16,0.00020126265836193383,0.006698600404161365,0.9849499999999999
17,0.00020126265836193383,0.006997979193174164,0.984
18,0.00020126265836193383,0.007035401541800763,0.9827333333333332
19,0.00021715181560103385,0.007035401541800763,0.9823452380952381
20,0.00021715181560103385,0.007072823890427364,0.9820666666666666
21,0.0002277445870937672,0.00759673677119976,0.982
22,0.0002330409728401339,0.008083227303345557,0.98
23,0.00024363374433286725,0.008083227303345557,0.979
24,0.00024363374433286725,0.008644562532744555,0.978
25,0.0002489301300792339,0.008681984881371155,0.9774761904761906
26,0.00027541205881106734,0.008719407229997755,0.9773380952380953
27,0.00028600483030380067,0.008756829578624354,0.9765
28,0.0003124867590356341,0.008869096624504153,0.9761333333333333
29,0.0003124867590356341,0.009355587156649952,0.976
30,0.00032307953052836743,0.009355587156649952,0.9754523809523811
31,0.00032837591627473415,0.009355587156649952,0.9748063492063493
32,0.00034426507351383414,0.010104034129181948,0.974
33,0.00042371085970933437,0.010216301175061747,0.9734961760461759
34,0.00042900724545570103,0.010216301175061747,0.973
35,0.00042900724545570103,0.010815058753087343,0.972
36,0.00042900724545570103,0.010852481101713943,0.9716
37,0.0004396000169484344,0.010852481101713943,0.9707111111111111
38,0.00045019278844116774,0.01152608337699274,0.97
39,0.0004660819456802678,0.01152608337699274,0.9695727106227107
40,0.0004660819456802678,0.01156350572561934,0.9686666666666667
41,0.00047137833142663445,0.01156350572561934,0.9685396825396826
42,0.0004978602601584678,0.01156350572561934,0.9681714285714286
43,0.0004978602601584678,0.012049996257765138,0.968
44,0.0005084530316512013,0.012087418606391738,0.9671746031746034
45,0.0005190458031439346,0.012686176184417334,0.966
46,0.0005296385746366679,0.012686176184417334,0.9659207070707071
47,0.000545527731875768,0.012686176184417334,0.9643506493506493
48,0.000545527731875768,0.013359778459696131,0.964
49,0.0005720096606076013,0.013359778459696131,0.9633333333333334
50,0.0005931952035930681,0.01343462315694933,0.9621143578643577
51,0.0005984915893394347,0.014108225432228127,0.962
52,0.0006408626753103682,0.014145647780854727,0.9607634920634922
53,0.0006461590610567349,0.014145647780854727,0.9605
54,0.0006567518325494683,0.014183070129481326,0.9601495670995672
55,0.0006726409897885682,0.015081206496519721,0.96
56,0.0006832337612813017,0.015081206496519721,0.9591857142857142
57,0.0006991229185204017,0.01556769702866552,0.958
58,0.000709715690013135,0.01556769702866552,0.9572428571428572
59,0.0007150120757595018,0.01556769702866552,0.9570666666666667
60,0.0007309012329986018,0.016203876955317716,0.956
61,0.0007414940044913351,0.017326547414115708,0.954
62,0.0007467903902377017,0.01736396976274231,0.9529166666666669
63,0.0007573831617304352,0.01736396976274231,0.9521171122994653
64,0.0007732723189695352,0.018037572038021105,0.952
65,0.0007838650904622686,0.0190105531023127,0.95
66,0.0007997542477013686,0.0190105531023127,0.9494301587301587
67,0.0008050506334477353,0.0190105531023127,0.949
68,0.0008156434049404686,0.0190105531023127,0.9482333333333333
69,0.000826236176433202,0.019721577726218097,0.948
70,0.000826236176433202,0.020731981139136293,0.946
71,0.000842125333672302,0.020731981139136293,0.9448333333333333
72,0.0008580144909114021,0.021517850460294887,0.944
73,0.0008633108766577688,0.021517850460294887,0.943
74,0.0008686072624041354,0.022603098570466284,0.942
75,0.0009268675056141689,0.022640520919092882,0.9409015873015875
76,0.0009321638913605356,0.023426390240251477,0.94
77,0.0009427566628532689,0.023426390240251477,0.9395333333333333
78,0.0009427566628532689,0.02346381258887808,0.93905873015873
79,0.0009533494343460022,0.023501234937504677,0.9385055555555556
80,0.000958645820092369,0.02447421600179627,0.938
81,0.0009692385915851023,0.02447421600179627,0.9370999999999999
82,0.0009798313630778356,0.025634308809220865,0.936
83,0.000990424134570569,0.025634308809220865,0.9349714285714287
84,0.0009957205203169357,0.025634308809220865,0.9346666666666666
85,0.001006313291809669,0.025634308809220865,0.9341333333333334
86,0.0010274988347951357,0.02686924631389866,0.934
87,0.0010327952205415026,0.02686924631389866,0.9335
88,0.0010433879920342358,0.027767382680937057,0.932
89,0.0010539807635269692,0.027767382680937057,0.9306666666666668
90,0.0010645735350197025,0.027767382680937057,0.9304523809523809
91,0.0010645735350197025,0.027842227378190254,0.9301428571428572
92,0.001091055463751536,0.029189431928747848,0.93
93,0.001091055463751536,0.029226854277374446,0.92925
94,0.0011175373924833694,0.029226854277374446,0.9288346930846934
95,0.0011546120927079361,0.03038694708479904,0.928
96,0.0011599084784543027,0.030424369433425642,0.9275720557220559
97,0.0011705012499470362,0.030424369433425642,0.927004761904762
98,0.0011916867929325028,0.031434772846343835,0.926
99,0.0011916867929325028,0.03147219519497044,0.9251606060606061
100,0.0012022795644252363,0.031584462240850236,0.9250952380952381
