,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,0.0,0.0018336950827033906,1.0
2,4.2371085970933434e-05,0.0018711174313299902,0.9983076923076922
3,4.766747171730011e-05,0.003068632587381184,0.998
4,5.2963857463666796e-05,0.003442856073647182,0.996
5,5.8260243210033474e-05,0.003442856073647182,0.995
6,6.885301470276684e-05,0.00381707955991318,0.994
7,6.885301470276684e-05,0.004266147743432378,0.992
8,6.885301470276684e-05,0.004752638275578175,0.99
9,0.00011122410067370027,0.004752638275578175,0.9896333333333334
10,0.00011122410067370027,0.005126861761844174,0.988
11,0.00011652048642006695,0.005126861761844174,0.9878666666666668
12,0.00011652048642006695,0.005164284110470773,0.9871666666666667
13,0.00012711325791280032,0.005201706459097373,0.98705
14,0.00013240964365916698,0.005239128807723973,0.987
15,0.00013770602940553367,0.005426240550856972,0.986
16,0.00014829880089826703,0.005426240550856972,0.98585
17,0.0001535951866446337,0.00591273108300277,0.984
18,0.00016948434388373374,0.00591273108300277,0.9822142857142858
19,0.00017478072963010043,0.00591273108300277,0.9821666666666667
20,0.00017478072963010043,0.006436643963775166,0.98
21,0.00017478072963010043,0.0064740663124017665,0.9791555555555556
22,0.00017478072963010043,0.007297357982186962,0.976
23,0.00018537350112283378,0.007297357982186962,0.9744142857142858
24,0.00018537350112283378,0.007334780330813562,0.9743999999999999
25,0.00019596627261556714,0.00793353790883916,0.974
26,0.00019596627261556714,0.007970960257465758,0.9726666666666668
27,0.0002489301300792339,0.008008382606092358,0.972611904761905
28,0.0002489301300792339,0.008494873138238155,0.972
29,0.0002595229015719673,0.008494873138238155,0.9718666666666667
30,0.00026481928731833396,0.008532295486864756,0.9713333333333334
31,0.00026481928731833396,0.008569717835491356,0.9705095238095238
32,0.00026481928731833396,0.009018786019010553,0.97
33,0.00028600483030380067,0.009093630716263753,0.9689650793650793
34,0.00028600483030380067,0.009131053064890352,0.9689
35,0.00029659760179653405,0.009243320110770153,0.9686428571428571
36,0.0003124867590356341,0.009243320110770153,0.9685571428571429
37,0.0003389686877674675,0.009355587156649952,0.9681166666666666
38,0.00034426507351383414,0.009916922386048948,0.968
39,0.00042371085970933437,0.010029189431928747,0.9676414056531704
40,0.00042900724545570103,0.010029189431928747,0.9675095238095238
41,0.0004343036312020677,0.010515679964074546,0.966
42,0.0004396000169484344,0.010515679964074546,0.9657142857142856
43,0.0004396000169484344,0.011151859890726742,0.964
44,0.0004448964026948011,0.011151859890726742,0.9635
45,0.00047137833142663445,0.011189282239353341,0.9629666666666666
46,0.00048197110291936784,0.011189282239353341,0.9622666666666667
47,0.00048197110291936784,0.01163835042287254,0.962
48,0.0005084530316512013,0.01163835042287254,0.9614
49,0.0005084530316512013,0.012386797395404535,0.96
50,0.0005243421888903013,0.012386797395404535,0.9596666666666667
51,0.0005243421888903013,0.012985554973430133,0.958
52,0.0005349349603830346,0.012985554973430133,0.9565333333333336
53,0.0005402313461294012,0.013659157248708928,0.956
54,0.0005508241176221347,0.013659157248708928,0.9540500000000002
55,0.0005561205033685013,0.014370181872614326,0.954
56,0.000561416889114868,0.014370181872614326,0.9537999999999999
57,0.0005773060463539681,0.015006361799266522,0.952
58,0.0005773060463539681,0.015043784147893122,0.9505
59,0.0006037879750858014,0.015043784147893122,0.9503450188700188
60,0.0006090843608321682,0.01575480877179852,0.95
61,0.0006514554468031016,0.015792231120425118,0.9499222943722945
62,0.0006620482182958349,0.016765212184716712,0.948
63,0.0006620482182958349,0.016802634533343314,0.9462
64,0.0006726409897885682,0.01747623680862211,0.946
65,0.0006726409897885682,0.01755108150587531,0.9445
66,0.0006832337612813017,0.01755108150587531,0.9443349206349205
67,0.0006885301470276683,0.018149839083900905,0.944
68,0.000693826532774035,0.0190853977995659,0.942
69,0.0006991229185204017,0.0190853977995659,0.9406666666666665
70,0.000709715690013135,0.019871267120724498,0.94
71,0.0007256048472522351,0.019871267120724498,0.9396333333333333
72,0.0007361976187449684,0.019871267120724498,0.9394363275613276
73,0.0007520867759840685,0.020731981139136293,0.938
74,0.0007520867759840685,0.02076940348776289,0.9375
75,0.0007573831617304352,0.02076940348776289,0.9372
76,0.0007573831617304352,0.020844248185016092,0.9371555555555555
77,0.0007626795474768018,0.020844248185016092,0.9362999999999998
78,0.0007732723189695352,0.02088167053364269,0.9361515873015871
79,0.0007838650904622686,0.021817229249307686,0.936
80,0.0007944578619550019,0.021817229249307686,0.9346825396825398
81,0.0008209397906868353,0.021854651597934285,0.9343730158730159
82,0.000826236176433202,0.02267794326771948,0.934
83,0.000826236176433202,0.02275278796497268,0.9329615384615384
84,0.0008315325621795687,0.02275278796497268,0.9328833333333334
85,0.0008527181051650353,0.023576079634757878,0.932
86,0.0008527181051650353,0.023613501983384477,0.930090909090909
87,0.0008527181051650353,0.024436793653169673,0.93
88,0.0008686072624041354,0.024436793653169673,0.9292904761904763
89,0.0008792000338968688,0.024436793653169673,0.928647619047619
90,0.0008950891911359688,0.02533493002020807,0.928
91,0.0009056819626287022,0.02533493002020807,0.9274428571428571
92,0.0009056819626287022,0.025409774717461267,0.92615
93,0.0009215711198678023,0.026457600479006062,0.926
94,0.0009268675056141689,0.026457600479006062,0.9248619047619049
95,0.0009427566628532689,0.027767382680937057,0.924
96,0.0009533494343460022,0.02859067435072225,0.922
97,0.0009639422058387357,0.028628096699348852,0.9217957431457431
98,0.0009798313630778356,0.029301698974627647,0.92
99,0.000990424134570569,0.029301698974627647,0.9186357142857143
100,0.0009957205203169357,0.03079859291969164,0.918
