,fpr,tpr,thresholds
0,0.0,0.0,1.998
1,0.00010649769033134094,0.00014695077149155033,0.998
2,0.00017305874678842902,0.00029390154298310065,0.996
3,0.00026624422582835234,0.00029390154298310065,0.9958095238095237
4,0.00027955643711977,0.000440852314474651,0.992
5,0.0003194930709940228,0.000440852314474651,0.991
6,0.0003194930709940228,0.0005878030859662013,0.99
7,0.0003194930709940228,0.0010286554004408524,0.988
8,0.00034611749357685805,0.0019103600293901542,0.984
9,0.00035942970486827565,0.002204261572373255,0.982
10,0.0004659273951996166,0.002351212343864805,0.9811476190476189
11,0.0004792396064910342,0.002351212343864805,0.9802666666666667
12,0.0004792396064910342,0.002645113886847906,0.98
13,0.0005058640290738695,0.0032329169728141072,0.978
14,0.0005990495081137927,0.0032329169728141072,0.9756888888888889
15,0.0006389861419880456,0.0038207200587803084,0.974
16,0.0006656105645708809,0.0038207200587803084,0.9728
17,0.000732171621027969,0.00440852314474651,0.972
18,0.0007454838323193866,0.005878030859662013,0.97
19,0.0007587960436108042,0.005878030859662013,0.9686666666666668
20,0.0007587960436108042,0.006612784717119765,0.968
21,0.0007721082549022218,0.006612784717119765,0.9669666666666665
22,0.0007854204661936395,0.0073475385745775165,0.966
23,0.000798732677485057,0.007494489346069067,0.9654666666666667
24,0.0008919181565249804,0.00852314474650992,0.964
25,0.0009584792129820684,0.009992652461425423,0.962
26,0.0009717914242734861,0.009992652461425423,0.9613333333333333
27,0.0009717914242734861,0.011168258633357825,0.96
28,0.0009984158468563213,0.011168258633357825,0.959
29,0.0010516646920219917,0.012049963262307128,0.958
30,0.0010649769033134093,0.012049963262307128,0.9564999999999999
31,0.00111822574847908,0.012049963262307128,0.9563333333333333
32,0.0011315379597704974,0.01307861866274798,0.956
33,0.001144850171061915,0.01307861866274798,0.9553333333333333
34,0.0011581623823533327,0.014107274063188832,0.954
35,0.0011581623823533327,0.015135929463629684,0.952
36,0.001184786804936168,0.015135929463629684,0.9508000000000001
37,0.0011980990162275855,0.015870683321087434,0.95
38,0.0012114112275190031,0.015870683321087434,0.9496333333333333
39,0.0012380356501018384,0.016164584864070537,0.9485
40,0.0012646600726846737,0.016164584864070537,0.9481230158730157
41,0.0012646600726846737,0.017340191036002938,0.948
42,0.0012779722839760912,0.017340191036002938,0.9463333333333334
43,0.0012779722839760912,0.01807494489346069,0.946
44,0.0012779722839760912,0.019103600293901544,0.944
45,0.0013179089178503441,0.019103600293901544,0.9437666666666666
46,0.0013179089178503441,0.020279206465833945,0.942
47,0.0013312211291417618,0.02174871418074945,0.94
48,0.0013578455517245969,0.023365172667156504,0.938
49,0.0013844699743074322,0.024393828067597354,0.936
50,0.0014510310307645203,0.024393828067597354,0.9358333333333334
51,0.0014510310307645203,0.024540778839088905,0.9355833333333332
52,0.0014776554533473556,0.024540778839088905,0.9345
53,0.0014776554533473556,0.025863335782512858,0.934
54,0.0015442165098044436,0.025863335782512858,0.9339944444444446
55,0.0015575287210958613,0.025863335782512858,0.9325
56,0.001597465354970114,0.02703894195444526,0.932
57,0.0016107775662615317,0.02703894195444526,0.9315
58,0.0016107775662615317,0.02718589272593681,0.9308571428571428
59,0.0016107775662615317,0.028067597354886113,0.93
60,0.0016240897775529493,0.028067597354886113,0.9283333333333332
61,0.0016240897775529493,0.029831006612784716,0.928
62,0.0016773386227186197,0.029831006612784716,0.9274119047619048
63,0.0016773386227186197,0.030565760470242467,0.926
64,0.0017305874678842904,0.030565760470242467,0.9252999999999999
65,0.0017305874678842904,0.03188831741366642,0.924
66,0.0017438996791757078,0.03306392358559882,0.922
67,0.0017838363130499608,0.03306392358559882,0.9213333333333332
68,0.0017971485243413784,0.03306392358559882,0.9204666666666667
69,0.0018237729469242135,0.03306392358559882,0.9200666666666666
70,0.0018503973695070488,0.03409257898603968,0.92
71,0.0018637095807984665,0.03409257898603968,0.9185476190476191
72,0.0018903340033813018,0.03556208670095518,0.918
73,0.0018903340033813018,0.035709037472446734,0.9178888888888889
74,0.0019036462146727192,0.035709037472446734,0.9163333333333333
75,0.0019302706372555545,0.03717854518736223,0.916
76,0.0019302706372555545,0.03732549595885378,0.9146666666666667
77,0.0019702072711298073,0.038795003673769285,0.914
78,0.002023456116295478,0.038795003673769285,0.9126666666666666
79,0.0020367683275868955,0.038795003673769285,0.9125904761904762
80,0.0020900171727525657,0.040999265246142544,0.912
81,0.0020900171727525657,0.0434974283614989,0.91
82,0.0021033293840439834,0.0434974283614989,0.9094666666666666
83,0.002116641595335401,0.04364437913299045,0.909
84,0.002156578229209654,0.045554739162380606,0.908
85,0.002196514863083907,0.045554739162380606,0.9063333333333333
86,0.00223645149695816,0.0470242468772961,0.906
87,0.002249763708249577,0.047171197648787654,0.9046666666666666
88,0.002263075919540995,0.047171197648787654,0.9040666666666666
89,0.0023030125534152478,0.049522409992652464,0.904
90,0.0023429491872895007,0.049522409992652464,0.9033333333333332
91,0.0023562613985809184,0.05143277002204261,0.902
92,0.0023562613985809184,0.051579720793534165,0.9005
93,0.0023828858211637537,0.05378398236590742,0.9
94,0.002396198032455171,0.05378398236590742,0.899
95,0.0024095102437465886,0.05569434239529757,0.898
96,0.002436134666329424,0.05569434239529757,0.8966666666666667
97,0.0025559445679521823,0.055988243938280675,0.8966624187216297
98,0.0025825689905350177,0.05789860396767083,0.896
99,0.0025958812018264353,0.05995591476855253,0.894
100,0.0026358178357006883,0.06171932402645114,0.892
101,0.002649130046992106,0.06171932402645114,0.891
102,0.002649130046992106,0.06186627479794269,0.8909285714285714
