,median,lower95,upper95
sensitivity,0.725,0.714,0.735
specificity,0.71,0.707,0.712
ppv,0.185,0.181,0.19
npv,0.966,0.965,0.967
accuracy,0.711,0.708,0.714
roc_auc,0.791,0.784,0.797
